epoch;accuracy;loss;val_accuracy;val_loss
0;0.6582776308059692;0.7106533646583557;0.49685534834861755;0.8786559700965881
1;0.7306331396102905;0.5550900101661682;0.47484275698661804;0.945005476474762
2;0.7628784775733948;0.49922701716423035;0.4858490526676178;0.9949102997779846
3;0.7801808714866638;0.4639192819595337;0.46855345368385315;0.965068519115448
4;0.7963035702705383;0.4321305453777313;0.46226415038108826;1.0168054103851318
5;0.817538321018219;0.40207919478416443;0.5094339847564697;1.2447752952575684
6;0.8316948413848877;0.3737185001373291;0.49685534834861755;1.1454943418502808
7;0.8509634137153625;0.3487052619457245;0.50157231092453;1.2480767965316772
8;0.8576484322547913;0.32606586813926697;0.5047169923782349;1.2458349466323853
9;0.8682658076286316;0.3013956546783447;0.48899370431900024;1.2752338647842407
0;0.6121682524681091;0.6675693392753601;0.5865940451622009;0.7021948099136353
1;0.6485326290130615;0.6207470297813416;0.5856034159660339;0.7175772190093994
2;0.6717298626899719;0.5954089164733887;0.5578669309616089;0.7291225790977478
3;0.6936063170433044;0.5749916434288025;0.533597469329834;0.7568616271018982
4;0.7046270966529846;0.5559154748916626;0.5463100671768188;0.7866115570068359
5;0.7180831432342529;0.5388057231903076;0.5534092783927917;0.8133828043937683
6;0.7275766730308533;0.5227206349372864;0.5406967401504517;0.8225892186164856
7;0.7378131747245789;0.5070918202400208;0.5426778793334961;0.8532304167747498
8;0.746563732624054;0.4933902621269226;0.5433382987976074;0.8868904709815979
9;0.7541998624801636;0.48084768652915955;0.5372296571731567;0.8916072249412537
0;0.626771867275238;0.6533565521240234;0.597435474395752;0.6975889801979065
1;0.6488356590270996;0.6169614195823669;0.5930487513542175;0.7425030469894409
2;0.6700134873390198;0.5975236296653748;0.587818443775177;0.7701310515403748
3;0.6868460774421692;0.5788619518280029;0.5361903309822083;0.7561432123184204
4;0.69798344373703;0.5624655485153198;0.5525560975074768;0.7638150453567505
5;0.7114410996437073;0.5445055961608887;0.5753332376480103;0.8285894989967346
6;0.7222409844398499;0.5282121896743774;0.5820819735527039;0.8622627258300781
7;0.732197105884552;0.5138702988624573;0.5549181699752808;0.822460949420929
8;0.7422375679016113;0.49802306294441223;0.5829256176948547;0.9458908438682556
9;0.7513499855995178;0.4850498139858246;0.5183060765266418;0.8832557797431946
